2.691718 2.615262 1.000000 
2.898800 2.788854 1.000000 
2.746092 2.592635 1.000000 
2.489180 2.239477 1.000000 
2.649064 2.233120 1.000000 
2.006010 2.964146 1.000000 
2.685012 2.013562 1.000000 
2.435328 2.283076 1.000000 
2.039113 2.186320 1.000000 
2.432582 2.234715 1.000000 
2.393879 2.966568 1.000000 
2.385122 2.495837 1.000000 
2.750767 2.250811 1.000000 
2.239441 2.280744 1.000000 
2.817425 2.234543 1.000000 
2.137825 2.994703 1.000000 
2.314832 2.654382 1.000000 
2.274340 2.250758 1.000000 
2.744125 2.659330 1.000000 
2.479664 2.177404 1.000000 
2.385331 2.391961 1.000000 
2.253281 2.122348 1.000000 
2.454511 2.108396 1.000000 
2.654896 2.269695 1.000000 
2.297009 2.960850 1.000000 
2.019668 2.709370 1.000000 
2.117536 2.283312 1.000000 
2.248985 2.503459 1.000000 
2.917742 2.234628 1.000000 
2.824948 2.659381 1.000000 
2.903731 2.838762 1.000000 
2.077646 2.019412 1.000000 
2.514632 2.694467 1.000000 
2.974486 2.285062 1.000000 
2.283913 2.780864 1.000000 
2.175487 2.088179 1.000000 
2.852513 2.736634 1.000000 
2.682420 2.573372 1.000000 
2.482188 2.613532 1.000000 
2.478018 2.743468 1.000000 
2.243637 2.274904 1.000000 
2.479258 2.216188 1.000000 
2.552000 2.201634 1.000000 
2.290767 2.421109 1.000000 
2.767277 2.356654 1.000000 
2.015953 2.006179 1.000000 
2.043976 2.819697 1.000000 
2.139257 2.697703 1.000000 
2.378002 2.011364 1.000000 
2.608215 2.441663 1.000000 
2.734322 2.354913 1.000000 
2.093586 2.722627 1.000000 
2.121380 2.050312 1.000000 
2.364806 2.884204 1.000000 
2.382515 2.133186 1.000000 
2.161379 2.437151 1.000000 
2.175841 2.036167 1.000000 
2.243571 2.112683 1.000000 
2.987036 2.336980 1.000000 
2.842836 2.174416 1.000000 
2.939476 2.141273 1.000000 
2.878952 2.617615 1.000000 
2.507905 2.483714 1.000000 
2.441645 2.734012 1.000000 
2.880497 2.113346 1.000000 
2.524741 2.479442 1.000000 
2.524766 2.933447 1.000000 
2.225508 2.524930 1.000000 
2.370123 2.067339 1.000000 
2.955804 2.174563 1.000000 
